year,quarter,complaint_type_cal,count,avg,avg,avg
2010,1,Derelict Vehicles,2754,,,1.9339143064633261
2010,1,Dirty Conditions,7893,,,4.1911820600532117
2010,1,Graffiti,5093,4460.8765432098765432,2420.6428571428571429,97.5303272146847566
2010,1,Litter Basket Complaint,506,,,1.5750988142292490
2010,1,Missed Collection,5157,,,1.3257707969749855
2010,1,Other,66,,,0.98484848484848484848
2010,1,Other Enforcement,998,,,3.1472945891783567
2010,1,Overflowing Litter Baskets,325,,,1.0061538461538462
2010,1,Recycling Enforcement,319,,,5.8338557993730408
2010,1,Sanitation Condition,5877,,,1.2651012421303386
2010,1,snow,9376,,,1.9721629692832765
2010,1,Sweeping Complaint,260,,,1.1538461538461538
2010,1,Vacant Lot,380,4453.8750000000000000,,22.5989010989010989
2010,2,Derelict Vehicles,2864,,,1.5412011173184358
2010,2,Dirty Conditions,9903,,,3.4836918105624558
2010,2,Graffiti,6930,4369.4576271186440678,1164.0000000000000000,75.5841848067525544
2010,2,Litter Basket Complaint,858,,,1.6876456876456876
2010,2,Missed Collection,3749,,,1.3366230994931982
2010,2,Other,37,,,1.6486486486486486
2010,2,Other Enforcement,1459,,,2.8259081562714188
2010,2,Overflowing Litter Baskets,469,,,1.0554371002132196
2010,2,Recycling Enforcement,377,,,5.0822281167108753
2010,2,Sanitation Condition,8002,,,1.2694326418395401
2010,2,snow,1,,,3.0000000000000000
2010,2,Sweeping Complaint,249,,,1.2289156626506024
2010,2,Vacant Lot,738,4372.3200000000000000,,22.5119214586255259
2010,3,Derelict Vehicles,2947,,,1.6464200882253139
2010,3,Dirty Conditions,10702,,,3.5619510371893104
2010,3,Graffiti,4690,4292.9960629921259843,2666.6000000000000000,55.4585211902614968
2010,3,Litter Basket Complaint,735,,,1.5428571428571429
2010,3,Missed Collection,3611,,,1.3436721129880919
2010,3,Other,41,,,1.4878048780487805
2010,3,Other Enforcement,1420,,,2.8697183098591549
2010,3,Overflowing Litter Baskets,443,,,1.0722347629796840
2010,3,Recycling Enforcement,340,,,5.7235294117647059
2010,3,Sanitation Condition,8634,,,1.3119064164929349
2010,3,snow,2,,,2.5000000000000000
2010,3,Sweeping Complaint,300,,,1.1633333333333333
2010,3,Vacant Lot,653,4282.2857142857142857,,17.3639240506329114
2010,4,Derelict Bicycle,88,,,1.7500000000000000
2010,4,Derelict Vehicles,2284,,,2.0310858143607706
2010,4,Dirty Conditions,6959,,,4.2544905877281219
2010,4,Graffiti,3413,4196.4920634920634921,3176.3000000000000000,84.9096440523273502
2010,4,Litter Basket Complaint,452,,,1.8296460176991150
2010,4,Missed Collection,3792,,,1.6658755274261603
2010,4,Other,38,,,2.7631578947368421
2010,4,Other Enforcement,983,,,3.5422177009155646
2010,4,Overflowing Litter Baskets,266,,,1.1466165413533835
2010,4,Recycling Enforcement,253,,,4.8932806324110672
2010,4,Sanitation Condition,5577,,,1.5504751658597812
2010,4,snow,2645,,,7.0310018903591682
2010,4,Sweeping Complaint,391,,,1.2583120204603581
2010,4,Vacant Lot,276,4204.4000000000000000,,28.6513409961685824
2011,1,Derelict Bicycle,63,,,2.8095238095238095
2011,1,Derelict Vehicles,2833,,,3.1341334274620544
2011,1,Dirty Conditions,8403,,,7.5430203498750446
2011,1,Graffiti,3040,4095.7732793522267206,2575.2857142857142857,88.1371285356247762
2011,1,Litter Basket Complaint,468,,,2.0918803418803419
2011,1,Missed Collection,4463,,,2.1487788483083128
2011,1,Other,55,,,2.2909090909090909
2011,1,Other Enforcement,977,,,5.0696008188331627
2011,1,Overflowing Litter Baskets,205,,,1.8536585365853659
2011,1,Recycling Enforcement,279,,,11.7634408602150538
2011,1,Sanitation Condition,4473,,,2.1513525598032640
2011,1,snow,12074,,,6.0584727513665728
2011,1,Sweeping Complaint,244,,,1.6188524590163934
2011,1,Vacant Lot,274,4076.6666666666666667,,16.1221374045801527
2011,2,Derelict Bicycle,159,,,2.2138364779874214
2011,2,Derelict Vehicles,2825,3989.0000000000000000,,1.7616855524079320
2011,2,Dirty Conditions,10013,,,4.7668031558973335
2011,2,Graffiti,4697,4013.6561604584527221,3593.3529411764705882,48.2412603495860166
2011,2,Litter Basket Complaint,926,,,1.9103671706263499
2011,2,Missed Collection,4873,,,1.8612764210958342
2011,2,Other,18,,,1.8333333333333333
2011,2,Other Enforcement,1188,,,3.4452861952861953
2011,2,Overflowing Litter Baskets,411,,,1.4574209245742092
2011,2,Recycling Enforcement,211,,,12.5734597156398104
2011,2,Sanitation Condition,6716,,,1.6995235259082787
2011,2,snow,2,,,4.0000000000000000
2011,2,Sweeping Complaint,270,,,1.9962962962962963
2011,2,Vacant Lot,655,3992.4000000000000000,,19.4589147286821705
2011,3,Derelict Bicycle,97,,,2.2371134020618557
2011,3,Derelict Vehicles,2675,3915.0000000000000000,,1.9176954732510288
2011,3,Dirty Conditions,10279,3872.0000000000000000,,17.4994162288382954
2011,3,Graffiti,4351,3909.6788154897494305,3795.9090909090909091,46.3803680981595092
2011,3,Litter Basket Complaint,1052,3914.0000000000000000,,2.0980019029495718
2011,3,Missed Collection,4554,,,1.8978919631093544
2011,3,Other,27,,,2.8518518518518519
2011,3,Other Enforcement,1244,3910.0000000000000000,,3.9259855189058729
2011,3,Overflowing Litter Baskets,488,,,1.3831967213114754
2011,3,Recycling Enforcement,260,,,26.6346153846153846
2011,3,Sanitation Condition,7757,,,1.9624854969704783
2011,3,snow,2,,,8.5000000000000000
2011,3,Sweeping Complaint,379,,,1.8258575197889182
2011,3,Vacant Lot,686,3914.7500000000000000,,21.9233038348082596
2011,4,Derelict Bicycle,90,,,2.3888888888888889
2011,4,Derelict Vehicles,2240,,,1.3754464285714286
2011,4,Dirty Conditions,8231,,,10.0796987000364476
2011,4,Graffiti,3666,3823.8005249343832021,3623.8953488372093023,48.9719939117199391
2011,4,Litter Basket Complaint,678,,,2.3362831858407080
2011,4,Missed Collection,5032,,,1.7513910969793323
2011,4,Other,50,,,1.3200000000000000
2011,4,Other Enforcement,959,,,5.6715328467153285
2011,4,Overflowing Litter Baskets,252,,,1.2738095238095238
2011,4,Recycling Enforcement,223,,,16.5336322869955157
2011,4,Sanitation Condition,5617,3792.0000000000000000,,1.5735398860398860
2011,4,snow,45,,,1.1111111111111111
2011,4,Sweeping Complaint,862,,,1.6194895591647332
2011,4,Vacant Lot,342,3803.0000000000000000,,27.5219941348973607
2012,1,Derelict Bicycle,123,,,1.6178861788617886
2012,1,Derelict Vehicles,2196,,,1.1566484517304189
2012,1,Dirty Conditions,7618,,,4.4323969545812549
2012,1,Graffiti,2758,3720.6768292682926829,3654.5079365079365079,36.2543209876543210
2012,1,Litter Basket Complaint,525,3725.0000000000000000,,1.5992366412213740
2012,1,Missed Collection,4353,,,1.2490236618424075
2012,1,Other,75,,,1.1866666666666667
2012,1,Other Enforcement,1014,,,3.0177514792899408
2012,1,Overflowing Litter Baskets,132,,,0.96212121212121212121
2012,1,Recycling Enforcement,269,,,5.0037174721189591
2012,1,Sanitation Condition,5022,,,1.0655117483074472
2012,1,snow,492,,,2.9329268292682927
2012,1,Sweeping Complaint,183,,,1.5737704918032787
2012,1,Vacant Lot,349,3727.5000000000000000,,33.7175792507204611
2012,2,Derelict Bicycle,363,,,1.9146005509641873
2012,2,Derelict Vehicles,2377,,,1.2515776188472865
2012,2,Dirty Conditions,8422,,,4.3131085252909048
2012,2,Graffiti,5037,3638.4000000000000000,3507.9734513274336283,44.2675173494515335
2012,2,Litter Basket Complaint,612,,,1.6225490196078431
2012,2,Missed Collection,3886,,,1.4557385486361297
2012,2,Other,72,,,1.8055555555555556
2012,2,Other Enforcement,1280,,,2.7390625000000000
2012,2,Overflowing Litter Baskets,363,,,1.1212121212121212
2012,2,Recycling Enforcement,209,,,4.8421052631578947
2012,2,Sanitation Condition,6524,,,1.3683323114653587
2012,2,Sweeping Complaint,299,,,1.3344481605351171
2012,2,Vacant Lot,700,3611.2500000000000000,,27.0301724137931034
2012,3,Derelict Bicycle,205,,,1.8048780487804878
2012,3,Derelict Vehicles,2725,,,1.3365137614678899
2012,3,Dirty Conditions,10823,,,4.5382980689272845
2012,3,Graffiti,4793,3550.3790849673202614,3429.3807531380753138,51.8503225806451613
2012,3,Litter Basket Complaint,825,,,1.7757575757575758
2012,3,Missed Collection,4036,,,1.5240336967294351
2012,3,Other,23,,,2.5217391304347826
2012,3,Other Enforcement,1295,,,2.8208494208494208
2012,3,Overflowing Litter Baskets,476,,,1.1176470588235294
2012,3,Recycling Enforcement,248,,,5.2500000000000000
2012,3,Sanitation Condition,8134,3592.0000000000000000,,1.5332595598180253
2012,3,Sweeping Complaint,367,,,1.5504087193460490
2012,3,Vacant Lot,907,3547.8000000000000000,,31.5376940133037694
2012,4,Derelict Bicycle,124,,,2.0483870967741935
2012,4,Derelict Vehicles,3079,,,2.2491068528743098
2012,4,Dirty Conditions,6798,3426.0000000000000000,,7.6495512726202737
2012,4,Graffiti,3191,3455.5649350649350649,3319.9574468085106383,108.5635764016123122
2012,4,Litter Basket Complaint,420,,,2.1309523809523810
2012,4,Missed Collection,1213,,,1.6488046166529266
2012,4,Other,52,,,2.7307692307692308
2012,4,Other Enforcement,894,,,3.6610738255033557
2012,4,Overflowing Litter Baskets,193,,,1.4041450777202073
