year,month,complaint_type_cal,sum,count
2020,1,Derelict Bicycle,129,138
2020,1,Derelict Vehicles,2956,3011
2020,1,Dirty Conditions,1946,2018
2020,1,Graffiti,8,1965
2020,1,Missed Collection,3785,3955
2020,1,Other,1,1
2020,1,Other Enforcement,74,75
2020,1,Overflowing Litter Baskets,1,1
2020,1,Recycling Enforcement,22,26
2020,1,Sanitation Condition,175,179
2020,1,snow,187,189
2020,1,Vacant Lot,3,7
2020,2,Derelict Bicycle,165,180
2020,2,Derelict Vehicles,2677,2705
2020,2,Dirty Conditions,1958,2044
2020,2,Graffiti,0,933
2020,2,Missed Collection,3011,3109
2020,2,Other Enforcement,58,60
2020,2,Recycling Enforcement,18,21
2020,2,Sanitation Condition,152,154
2020,2,snow,36,37
2020,2,Vacant Lot,8,14
2020,3,Derelict Bicycle,124,126
2020,3,Derelict Vehicles,2028,2046
2020,3,Dirty Conditions,1511,1583
2020,3,Graffiti,0,599
2020,3,Litter Basket Complaint,1,1
2020,3,Missed Collection,2516,2591
2020,3,Other Enforcement,67,68
2020,3,Recycling Enforcement,13,14
2020,3,Sanitation Condition,158,162
2020,3,snow,4,4
2020,3,Vacant Lot,0,4
2020,4,Derelict Bicycle,78,86
2020,4,Derelict Vehicles,1056,1063
2020,4,Dirty Conditions,1275,1322
2020,4,Graffiti,0,419
2020,4,Missed Collection,1,1
2020,4,Other,1,1
2020,4,Other Enforcement,50,50
2020,4,Overflowing Litter Baskets,1,1
2020,4,Recycling Enforcement,12,12
2020,4,Sanitation Condition,106,108
2020,4,Vacant Lot,0,2
2020,5,Derelict Bicycle,106,114
2020,5,Derelict Vehicles,1625,1633
2020,5,Dirty Conditions,1668,2225
2020,5,Graffiti,0,361
2020,5,Other Enforcement,41,55
2020,5,Recycling Enforcement,15,23
2020,5,Sanitation Condition,127,130
2020,5,Vacant Lot,0,4
2020,6,Derelict Bicycle,162,179
2020,6,Derelict Vehicles,2153,2179
2020,6,Dirty Conditions,149,2658
2020,6,Graffiti,0,216
2020,6,Missed Collection,4365,4559
2020,6,Other,1,1
2020,6,Other Enforcement,3,103
2020,6,Recycling Enforcement,3,17
2020,6,Sanitation Condition,181,193
2020,6,Sweeping Complaint,1,1
2020,6,Vacant Lot,4,10
2020,7,Derelict Bicycle,111,125
2020,7,Derelict Vehicles,2673,2721
2020,7,Dirty Conditions,311,3225
2020,7,Graffiti,0,153
2020,7,Missed Collection,5372,5760
2020,7,Other,1,1
2020,7,Other Enforcement,15,123
2020,7,Overflowing Litter Baskets,3,3
2020,7,Recycling Enforcement,3,20
2020,7,Sanitation Condition,273,307
2020,7,Sweeping Complaint,1,1
2020,7,Vacant Lot,6,11
2020,8,Derelict Bicycle,143,154
2020,8,Derelict Vehicles,3388,3475
2020,8,Dirty Conditions,579,3471
2020,8,Graffiti,0,9
2020,8,Missed Collection,4915,5195
2020,8,Other,1,1
2020,8,Other Enforcement,14,82
2020,8,Overflowing Litter Baskets,2,2
2020,8,Recycling Enforcement,2,23
2020,8,Sanitation Condition,297,320
2020,8,Vacant Lot,8,14
2020,9,Derelict Bicycle,131,149
2020,9,Derelict Vehicles,3442,3509
2020,9,Dirty Conditions,1353,3361
2020,9,Graffiti,0,2
2020,9,Litter Basket Complaint,1,1
2020,9,Missed Collection,4340,4628
2020,9,Other,2,2
2020,9,Other Enforcement,26,87
2020,9,Overflowing Litter Baskets,1,1
2020,9,Recycling Enforcement,11,19
2020,9,Sanitation Condition,276,313
2020,9,Vacant Lot,3,5
2020,10,Derelict Bicycle,127,152
2020,10,Derelict Vehicles,3344,3362
2020,10,Dirty Conditions,1693,2460
2020,10,Graffiti,0,2
2020,10,Missed Collection,4068,4312
2020,10,Other,1,1
2020,10,Other Enforcement,63,83
2020,10,Overflowing Litter Baskets,1,1
2020,10,Recycling Enforcement,17,27
2020,10,Sanitation Condition,256,294
2020,10,snow,4,4
2020,10,Sweeping Complaint,1,1
2020,10,Vacant Lot,5,7
2020,11,Derelict Bicycle,81,97
2020,11,Derelict Vehicles,2888,3006
2020,11,Dirty Conditions,1608,1746
2020,11,Graffiti,0,6
2020,11,Litter Basket Complaint,1,1
2020,11,Missed Collection,3502,3900
2020,11,Other,0,1
2020,11,Other Enforcement,57,73
2020,11,Overflowing Litter Baskets,1,1
2020,11,Recycling Enforcement,17,19
2020,11,Sanitation Condition,254,281
2020,11,snow,5,5
2020,11,Vacant Lot,1,2
2020,12,Derelict Bicycle,62,78
2020,12,Derelict Vehicles,2324,2455
2020,12,Dirty Conditions,1381,1734
2020,12,Graffiti,0,3
2020,12,Missed Collection,2525,3226
2020,12,Other,1,4
2020,12,Other Enforcement,40,55
2020,12,Recycling Enforcement,16,19
2020,12,Sanitation Condition,236,284
2020,12,snow,2339,3716
2020,12,Vacant Lot,3,6
2021,1,Derelict Bicycle,114,140
2021,1,Derelict Vehicles,3087,3240
2021,1,Dirty Conditions,1873,2306
2021,1,Graffiti,0,1
2021,1,Missed Collection,3589,4234
2021,1,Other,0,65
2021,1,Other Enforcement,35,43
2021,1,Recycling Enforcement,15,17
2021,1,Sanitation Condition,208,242
2021,1,snow,107,119
2021,1,Sweeping Complaint,2,2
2021,1,Vacant Lot,2,8
2021,2,Derelict Bicycle,44,55
2021,2,Derelict Vehicles,1499,1615
2021,2,Dirty Conditions,1173,1498
2021,2,Graffiti,0,1
2021,2,Missed Collection,426,497
2021,2,Other,1,1
2021,2,Other Enforcement,35,46
2021,2,Recycling Enforcement,24,27
2021,2,Sanitation Condition,154,181
2021,2,snow,3708,7989
2021,2,Vacant Lot,0,1
2021,3,Derelict Bicycle,137,154
2021,3,Derelict Vehicles,3919,3984
2021,3,Dirty Conditions,3692,4169
2021,3,Graffiti,0,3
2021,3,Litter Basket Complaint,2,3
2021,3,Missed Collection,8529,8754
2021,3,Other Enforcement,72,87
2021,3,Overflowing Litter Baskets,1,1
2021,3,Recycling Enforcement,30,32
2021,3,Sanitation Condition,264,303
2021,3,snow,64,65
2021,3,Vacant Lot,1,8
2021,4,Derelict Bicycle,144,163
2021,4,Derelict Vehicles,3481,3546
2021,4,Dirty Conditions,3018,3233
2021,4,Graffiti,0,5
2021,4,Litter Basket Complaint,2,2
2021,4,Missed Collection,4209,4306
2021,4,Other Enforcement,51,62
2021,4,Overflowing Litter Baskets,1,1
2021,4,Recycling Enforcement,26,27
2021,4,Sanitation Condition,371,399
2021,4,Sweeping Complaint,1,3
2021,4,Vacant Lot,5,14
2021,5,Derelict Bicycle,152,171
2021,5,Derelict Vehicles,3598,3637
2021,5,Dirty Conditions,3479,3649
2021,5,Graffiti,0,84
2021,5,Litter Basket Complaint,5,6
2021,5,Missed Collection,4261,4556
2021,5,Other,0,11
2021,5,Other Enforcement,98,106
2021,5,Overflowing Litter Baskets,2,2
